FMTNAME,START,LABEL,city,state
I94PRTL,MAR,"MARFA, TX",MARFA, TX
I94PRTL,MAS,"MASSENA, NY",MASSENA, NY
I94PRTL,MAY,"MAYAGUEZ, PR",MAYAGUEZ, PR
I94PRTL,MBO,"MARBLE HEADS, OH",MARBLE HEADS, OH
I94PRTL,MCA,"MCALLEN, TX",MCALLEN, TX
I94PRTL,MDE,"MEDELLIN, COLOMBIA",MEDELLIN, COLOMBIA
I94PRTL,MDT,"HARRISBURG, PA",HARRISBURG, PA
I94PRTL,MED,"MEDFORD, OR",MEDFORD, OR
I94PRTL,MEM,"MEMPHIS, TN",MEMPHIS, TN
I94PRTL,MET,"METALINE FALLS, WA",METALINE FALLS, WA
I94PRTL,MEX,"JUAREZ INTL, MEXICO CITY, MX",JUAREZ INTL, MEXICO CITY
I94PRTL,MGC,"MORGAN CITY, LA",MORGAN CITY, LA
I94PRTL,MGM,"MORGAN, MT",MORGAN, MT
I94PRTL,MHT,"MANCHESTER, NH",MANCHESTER, NH
I94PRTL,MIA,"MIAMI, FL",MIAMI, FL
